ID,Sens_0mM_r1,Sens_0mM_r2,Sens_0mM_r3,Sens_15mM_r1,Sens_15mM_r2,Sens_15mM_r3,Tol_0mM_r1,Tol_0mM_r2,Tol_0mM_r3,Tol_15mM_r1,Tol_15mM_r2,Tol_15mM_r3
ESR49106,9.1095,11.0852,9.4808,9.839,10.6788,9.5665,12.2284,12.6938,10.3602,9.6888,12.0002,10.6658
ESR55659,8.9247,7.9737,7.6819,8.6778,8.1825,8.3703,4.974,6.1466,6.1986,7.4536,7.4601,6.7588
ESR64163,3.1567,2,3.5538,2.5892,2,2.5776,5.1926,4.4052,5.2752,4.5707,2.9525,4.3251
ESR59033,4.0264,4.6974,3.2939,3.0063,4.3486,3.3086,5.7472,6.6909,4.5912,3.069,5.6657,4.003
ESR59728,7.0158,9.1663,7.6264,7.7127,8.6179,7.0658,9.8817,10.5972,8.7899,7.7172,9.6386,9.4511
ESR57678,6.2348,7.3715,5.4808,6.6267,7.3723,5.8861,8.751,9.4377,7.2482,6.621,8.3392,7.5738
ESR59781,5.5928,4.9968,5.6007,5.2592,5.6155,4.8876,3.8365,2.5631,3.7157,4.2759,2.9525,2.5863
ESR59274,8.932,6.7244,7.3636,6.6845,6.6169,7.7725,5.4405,5.6934,5.4053,5.0245,5.3719,5.8111
ESR66642,6.3696,7.4722,5.8143,5.535,6.3535,5.7343,7.7004,5.7457,7.0031,4.1023,4.3809,4.4627
ESR51649,2.6913,6.3889,5.3499,7.0566,6.4912,6.6225,6.0752,6.46,6.9824,6.684,6.1182,6.6477
ESR36804,2.6913,6.4884,5.4168,7.0566,6.7869,6.5933,6.1468,6.7688,6.7326,5.984,6.662,6.4301
ESR42211,6.9018,7.9964,6.8615,7.1415,6.458,6.9557,9.7093,9.0267,8.2553,8.3523,9.4117,9.5038
ESR51383,4.7077,5.1667,3.2939,7.0122,6.1607,6.6225,5.0506,4.269,3.7157,6.2568,5.3719,4.3251
ESR46841,2,2.5838,2.5695,4.4697,4.4867,2.5776,2.5146,5.3323,2,2.6313,3.739,4.7038
ESR61646,5.1686,4.1671,4.1336,3.5933,4.3486,4.1526,6,6.9129,4.2188,3.4044,6.4925,5.8111
ESR49331,3.5081,2,2,2,2,2,4.7162,3.2824,4.0698,4.8154,3.9282,4.4627
ESR43425,5.5174,5.5816,4.2845,4.7111,5.2777,4.1526,7.0506,7.8888,5.4662,4.2759,6.5222,6.2133
ESR57746,3.1567,4.6974,3.9649,3.3295,3.8312,3.7915,6,6.46,5.0549,5.0245,5.9538,6.1737
ESR43316,2.6913,3.9973,2,4.4697,4.8359,3.5701,5.7472,5.4629,5.2752,3.6763,5.3052,3.5876
ESR54985,2,5.8546,4.7672,5.9659,5.9853,4.7883,5.1926,5.6391,6.3025,4.6982,5.7683,6.1331
ESR32700,8.6257,10.5548,8.7349,9.7025,10.513,7.5781,8.2397,8.3521,10.9682,10.5095,8.0444,8.7387
ESR33813,2,2.5838,2.5695,2,2,2,3.4405,4.4052,4.0698,4.6982,4.6191,4.5883
ESR34935,4.5651,5.0843,5.1283,4.0094,6.2409,3.5701,6.8292,6.7173,6.9614,5.1187,6.662,6.1737
ESR65718,8.0613,6.2445,7.2397,7.8325,8.5952,7.4701,4.974,8.6206,5.4053,7.9007,6.9288,7.4958
ESR34043,7.0158,9.1102,7.1638,7.1821,8.2996,6.9784,9.4262,10.2052,8.1101,7.3212,9.4078,9.392
ESR42470,7.922,8.3801,7.0837,7.241,7.2803,6.5332,8.9391,9.8645,9.7066,8.726,9.4508,9.626
ESR64227,4.9565,4.9038,3.9649,3.5933,5.0291,5.0678,6.3423,6.9579,4.5912,2.6313,5.6115,5.3255
ESR49200,7.8925,8.9448,7.258,7.6988,8.7124,7.5017,9.8765,10.6043,7.6538,7.417,9.9833,9.3527
ESR39466,4.0264,3.3198,3.2939,2,3.6072,2,5.1233,5.8449,4.0698,4.2759,4.5049,4.9104
ESR42616,4.0264,4.9968,5.4808,3.3295,3.0167,3.3086,5.7472,6.1466,4.3539,3.069,2.9525,5.0035
ESR61235,6.6775,7.2633,5.8631,5.9186,6.2014,4.7883,8.1204,8.9396,6.4303,5.3692,7.2808,7.0483
ESR61368,3.7904,3.8048,3.5538,2,3.8312,2,5.1926,5.7961,3.9036,3.4044,5.2353,4.3251
ESR54705,3.1567,4.6974,3.5538,3.3295,3.6072,2.9889,4.1468,6.2224,4.4774,6.5884,5.0026,4.8108
ESR43760,7.9934,9.8038,8.2205,8.2792,9.1468,7.9088,10.6407,11.3493,9.0458,8.4552,10.5636,9.8744
ESR48997,6.2348,8.0733,6.5697,6.8701,6.9864,6.4382,8.5413,9.9253,7.4726,6.684,8.6458,8.6764
ESR37497,4.0264,2.5838,2,4.332,4.1959,3.9833,4.1468,5.3323,4.5912,5.3692,6.0789,5.2515
ESR34613,2,3.9973,3.2939,3.3295,3.6072,2.9889,5.2587,5.5241,4.8868,5.6472,5.1618,4.5883
ESR38990,6.6775,8.0733,6.7362,6.2973,7.1821,5.7867,8.528,9.4574,7.2308,6.1715,8.5554,8.4634
ESR62037,6.4119,8.0408,6.7362,6.3338,7.5872,6.7065,9.0365,9.4297,7.2308,5.7091,8.6592,7.6764
ESR35127,4.8375,3.9973,5.9103,2.5892,4.4867,5.4392,2,3.541,4.2188,4.5707,3.2647,3.002
ESR48669,5.4378,7.9153,5.2798,6.4043,7.0984,5.9333,8.1468,8.662,6.9824,6.0332,7.7125,8.2231
ESR35182,4.4069,6.041,3.774,4.0094,5.2777,4.3041,6.3725,7.4428,5.2752,5.2071,6.6077,6.3614
ESR60181,6.3696,5.389,6.0003,5.4037,5.1169,5.8372,4.5145,2.9671,6.1986,6.684,3.5213,4.3251
ESR62675,8.3602,7.2444,7.5687,7.8578,6.865,8.2541,5.7472,5.1886,5.4053,5.7684,5.9096,5.8111
ESR40390,7.5766,6.5201,6.7097,6.0118,5.4897,7.0008,8.6864,9.4613,6.9614,7.9139,8.4043,7.9581
ESR62428,4.7077,4.4565,5.4808,3.5933,5.0291,3.7915,6.9341,6.8184,5.4662,3.6763,6.0384,5.9106
ESR62884,2,3.3198,2.5695,3.3295,4.025,3.3086,3.8365,4.5297,4.5912,6.2147,4.8235,5.0035
ESR43281,2.6913,4.582,3.5538,3.0063,4.8359,2.9889,5.7472,6.2943,3.9036,4.1023,5.4356,3.8102
ESR63605,7.684,7.9737,6.9989,7.0345,7.5083,6.4706,9.51,9.8615,7.1402,6.0332,8.7245,7.7044
ESR40548,4.7077,4.4565,5.2798,4.0094,4.3486,4.6816,4,4.5297,2,2,2.5535,2.5863
ESR66640,2.6913,4.319,2,4.4697,3.6072,2.5776,4.4021,2,5.2752,2,2.5535,4.003
ESR47564,4.5651,2.9982,4.2845,2.5892,2,2,4.5145,5.8449,3.2453,4.1023,4.2452,4.003
ESR50596,5.9777,4.8043,6.0003,4.7111,5.1169,4.3041,7.5763,7.2571,6.8965,6.9376,7.2097,6.9346
ESR60891,4.2292,5.2447,3.5538,3.0063,4.4867,3.7915,6.215,7.1252,4.8868,4.2759,5.4967,4.7038
ESR62085,4.0264,5.4561,3.5538,6.6559,6.424,4.5664,4.1468,3.7602,3.7157,5.7091,5.4356,6.3257
ESR57862,4.0264,4.9038,4.7672,4.5954,5.4224,4.4412,7.0691,7.2206,6.3678,6.0807,7.3151,5.7041
ESR33562,4.5651,7.0626,5.7115,6.0562,5.2777,5.3019,6.893,8.1043,6.125,4.8154,7.5918,7.3258
ESR34432,4.4069,5.804,4.7672,4.0094,5.0291,4.3041,6.6438,7.7291,5.4053,4.1023,6.3343,5.8617
ESR53915,2.6913,4.4565,2.9767,2.5892,3.342,2.5776,4,6.0249,3.2453,3.4044,4.9158,5.3255
